af, Afrikaans, 
am, Amharic, አማርኛ
ar, Arabic, عربي
ast, Asturian, Asturianu
az, Azerbaijani, Azərbaycanca
be, Belarusian, Беларускі
bg, Bulgarian, Български
bn, Bengali, বাংলা
br, Breton, 
ca, Catalan, 
cs, Czech, Čeština
csb, Kashubian, Kaszëbsczi
cy, Welsh, 
da, Danish, Dansk
de, German, 
de-alt, German - Old Spelling, 
el, Greek, 
en, English, 
eo, Esperanto, 
es, Spanish, Español
et, Estonian, 
fa, Persian, فارسی
fi, Finnish, 
fo, Faroese, Føroyskt
fr, French, Fran
fy, Frisian, Frysk
ga, Irish, Gaeilge
gd, Scottish Gaelic, Gàidhlig
gl, Galician, Galego (minimos)
grc, Ancient Greek, 
gu, Gujarati, ગુજરાતી
gv, Manx Gaelic, 
he, Hebrew, עברית
hi, Hindi, हिंदी
hil, Hiligaynon, 
hr, Croatian, 
hsb, Upper Sorbian, hornjoserbsce
hu, Hungarian, 
hus, Huastec, Tenek
hy, Armenian, Հայերեն
ia, Interlingua, 
id, Indonesian, Bahasa Indonesia
is, Icelandic, 
it, Italian, Italiano
kn, Kannada, ಕನ್ನಡ
ku, Kurdi, Kurdî
ky, Kirghiz, 
la, Latin, 
lt, Lithuanian, lietuvių
lv, Latvian, 
mg, Malagasy, 
mi, Maori, 
mk, Macedonian, 
ml, Malayalam, മലയാളം
mn, Mongolian, Монгол
mr, Marathi, मराठी
ms, Malay, 
mt, Maltese, 
nb, Norwegian Bokmal, 
nds, Low Saxon, Plattdüütsch
nl, Dutch, 
nn, Norwegian Nynorsk, 
ny, Chichewa, 
or, Oriya, ଓଡ଼ିଆ
pa, Punjabi, ਪੰਜਾਬੀ
pl, Polish, polski
pt_BR, Brazilian Portuguese, Português do Brasil
pt_PT, Portuguese, português
qu, Quechua, Runasimi (qheshwa)
ro, Romanian, Română
ru, Russian, Русский
rw, Kinyarwanda, 
sc, Sardinian, 
sk, Slovak, Slovenský
sl, Slovenian, 
sr, Serbian, Српски
sv, Swedish, 
sw, Swahili, Kiswahili
ta, Tamil, தமிழ்
te, Telugu, తెలుగు
tet, Tetum, 
tk, Turkmen, 
tl, Tagalog, Tagalog
tn, Setswana, 
tr, Turkish, 
uk, Ukrainian, Українська
uz, Uzbek, Ўзбекча
vi, Vietnamese, Việt ngữ
wa, Walloon, walon
yi, Yiddish, ייִדיש
zu, Zulu, 
